campaign_id,platform,influencer_category,campaign_type,start_date,engagements,estimated_reach,product_sales,campaign_duration_days,end_date
CMP1296,Instagram,Micro,Brand Awareness,2025-07-09,2856,26431,48,23,2025-08-01
CMP1297,YouTube,Mid-tier,Brand Awareness,2025-05-05,5821,121944,81,26,2025-05-31
CMP1298,Instagram,Micro,Brand Awareness,2025-05-30,2635,26564,36,30,2025-06-29
CMP1299,Instagram,Macro,Product Launch,2025-11-10,8622,129817,257,11,2025-11-21
CMP1300,Instagram,Micro,Brand Awareness,2025-12-08,2011,25523,30,40,2026-01-17
CMP1301,Instagram,Mega,Sponsored Post,2025-11-01,16846,299806,348,12,2025-11-13
CMP1302,YouTube,Mid-tier,Product Launch,2025-02-23,7198,127351,147,59,2025-04-23
CMP1303,Instagram,Macro,Product Launch,2026-03-20,12790,184007,451,8,2026-03-28
CMP1304,Instagram,Mid-tier,Brand Awareness,2025-09-21,5777,57966,122,19,2025-10-10
CMP1305,Instagram,Macro,Sponsored Post,2025-02-22,14715,213212,345,49,2025-04-12
CMP1306,Instagram,Macro,Giveaway,2025-01-05,20944,243869,303,49,2025-02-23
CMP1307,YouTube,Mid-tier,Giveaway,2025-04-13,6241,91581,82,54,2025-06-06
CMP1308,Instagram,Mid-tier,Product Launch,2025-07-15,4888,52731,165,17,2025-08-01
CMP1309,YouTube,Mid-tier,Giveaway,2025-12-16,9496,138719,96,57,2026-02-11
CMP1310,Instagram,Mid-tier,Brand Awareness,2025-02-16,5514,91631,131,53,2025-04-10
CMP1311,Instagram,Micro,Sponsored Post,2025-09-26,2420,22097,47,29,2025-10-25
CMP1312,YouTube,Mid-tier,Giveaway,2026-01-05,4977,63373,64,22,2026-01-27
CMP1313,Instagram,Mid-tier,Product Launch,2025-04-16,9933,90251,340,37,2025-05-23
CMP1314,YouTube,Mid-tier,Product Launch,2025-04-30,4259,73709,72,17,2025-05-17
CMP1315,Instagram,Macro,Product Launch,2025-02-27,27491,334809,824,60,2025-04-28
CMP1316,Instagram,Mid-tier,Brand Awareness,2025-12-12,5326,79078,95,22,2026-01-03
CMP1317,YouTube,Mega,Product Launch,2026-04-19,18405,457639,527,14,2026-05-03
CMP1318,Instagram,Micro,Giveaway,2025-04-27,2333,17852,32,10,2025-05-07
CMP1319,Instagram,Mid-tier,Brand Awareness,2025-05-07,7769,108876,155,46,2025-06-22
CMP1320,YouTube,Mid-tier,Product Launch,2026-01-28,4685,75962,121,10,2026-02-07
CMP1321,Instagram,Mid-tier,Product Launch,2025-02-27,7151,69262,239,31,2025-03-30
CMP1322,YouTube,Macro,Product Launch,2026-05-28,9540,208671,258,9,2026-06-06
CMP1323,Instagram,Micro,Sponsored Post,2025-04-06,2382,24036,44,38,2025-05-14
CMP1324,YouTube,Macro,Product Launch,2025-04-28,8474,215762,240,9,2025-05-07
CMP1325,YouTube,Mid-tier,Giveaway,2026-05-03,7360,94811,96,33,2026-06-05
CMP1326,YouTube,Mid-tier,Sponsored Post,2025-08-25,4866,111300,121,35,2025-09-29
CMP1327,YouTube,Mid-tier,Giveaway,2025-09-29,5698,93877,77,38,2025-11-06
CMP1328,Instagram,Mid-tier,Sponsored Post,2025-07-08,6565,78941,187,56,2025-09-02
CMP1329,YouTube,Mid-tier,Brand Awareness,2026-03-23,5699,109310,94,57,2026-05-19
CMP1330,Instagram,Mid-tier,Sponsored Post,2025-09-04,6369,67438,167,25,2025-09-29
CMP1331,Instagram,Micro,Product Launch,2025-03-17,2470,23536,91,27,2025-04-13
CMP1332,Instagram,Mid-tier,Product Launch,2025-06-03,6974,68581,211,11,2025-06-14
CMP1333,Instagram,Micro,Giveaway,2026-03-11,2502,25335,38,24,2026-04-04
CMP1334,Instagram,Mid-tier,Sponsored Post,2025-03-27,6903,92304,134,34,2025-04-30
CMP1335,YouTube,Mid-tier,Sponsored Post,2025-10-12,4243,94282,93,48,2025-11-29
CMP1336,YouTube,Mid-tier,Product Launch,2025-08-08,6289,97563,178,28,2025-09-05
CMP1337,YouTube,Mid-tier,Product Launch,2025-03-10,6113,101618,188,27,2025-04-06
CMP1338,Instagram,Micro,Sponsored Post,2025-02-16,1764,18371,46,12,2025-02-28
CMP1339,YouTube,Mid-tier,Product Launch,2025-04-04,4141,72049,129,7,2025-04-11
CMP1340,Instagram,Micro,Sponsored Post,2026-03-29,1656,14671,36,11,2026-04-09
CMP1341,Instagram,Mid-tier,Sponsored Post,2025-07-23,7947,98501,172,47,2025-09-08
CMP1342,Instagram,Macro,Brand Awareness,2025-08-06,9068,176111,163,18,2025-08-24
CMP1343,Instagram,Micro,Brand Awareness,2026-04-19,2769,28127,48,32,2026-05-21
CMP1344,YouTube,Mid-tier,Brand Awareness,2026-03-08,5376,115331,58,52,2026-04-29
CMP1345,YouTube,Mid-tier,Product Launch,2025-12-07,6153,98736,197,40,2026-01-16
CMP1346,Instagram,Mid-tier,Sponsored Post,2025-10-16,5580,68032,130,55,2025-12-10
CMP1347,Instagram,Micro,Brand Awareness,2025-09-11,1327,17267,21,20,2025-10-01
CMP1348,Instagram,Micro,Sponsored Post,2025-12-23,1438,14576,18,32,2026-01-24
CMP1349,Instagram,Macro,Product Launch,2025-01-23,16657,220034,534,51,2025-03-15
CMP1350,YouTube,Mid-tier,Sponsored Post,2026-06-06,6638,130960,128,33,2026-07-09
CMP1351,Instagram,Micro,Brand Awareness,2025-04-10,1760,16863,24,15,2025-04-25
CMP1352,Instagram,Mid-tier,Product Launch,2025-06-29,3491,44071,99,32,2025-07-31
CMP1353,Instagram,Mid-tier,Product Launch,2025-08-11,9951,103839,313,53,2025-10-03
CMP1354,YouTube,Micro,Giveaway,2026-03-18,2811,41429,30,28,2026-04-15
CMP1355,YouTube,Mid-tier,Giveaway,2025-11-21,5223,117836,80,53,2026-01-13
CMP1356,YouTube,Mid-tier,Sponsored Post,2026-05-31,5066,102998,88,36,2026-07-06
CMP1357,YouTube,Mega,Product Launch,2025-01-16,24745,679169,728,49,2025-03-06
CMP1358,Instagram,Micro,Product Launch,2025-12-02,2401,21148,91,54,2026-01-25
CMP1359,Instagram,Mid-tier,Brand Awareness,2025-09-15,3975,53890,69,23,2025-10-08
CMP1360,YouTube,Mid-tier,Brand Awareness,2026-05-12,3317,90328,61,32,2026-06-13
CMP1361,YouTube,Mid-tier,Brand Awareness,2025-06-09,3863,94988,68,42,2025-07-21
CMP1362,YouTube,Mid-tier,Sponsored Post,2026-04-20,4241,73152,82,7,2026-04-27
CMP1363,YouTube,Mid-tier,Sponsored Post,2026-01-15,4013,90955,82,14,2026-01-29
CMP1364,YouTube,Macro,Sponsored Post,2026-06-29,13785,282274,249,55,2026-08-23
CMP1365,YouTube,Macro,Sponsored Post,2026-03-03,14627,317783,307,41,2026-04-13
CMP1366,YouTube,Mid-tier,Brand Awareness,2025-09-25,4622,105867,71,58,2025-11-22
CMP1367,YouTube,Macro,Brand Awareness,2026-02-21,9233,273746,211,21,2026-03-14
CMP1368,YouTube,Mid-tier,Brand Awareness,2025-06-17,5900,114029,104,53,2025-08-09
CMP1369,YouTube,Mid-tier,Sponsored Post,2025-02-12,4097,85445,61,28,2025-03-12
CMP1370,Instagram,Micro,Product Launch,2025-10-12,1893,22567,45,20,2025-11-01
CMP1371,YouTube,Mega,Brand Awareness,2026-02-01,18986,593549,340,32,2026-03-05
CMP1372,Instagram,Micro,Product Launch,2025-01-12,2856,25803,83,34,2025-02-15
CMP1373,YouTube,Micro,Brand Awareness,2025-10-29,2020,34009,29,29,2025-11-27
CMP1374,YouTube,Micro,Sponsored Post,2025-09-10,1618,27511,35,20,2025-09-30
CMP1375,Instagram,Mid-tier,Sponsored Post,2026-05-14,5392,70377,133,30,2026-06-13
CMP1376,Instagram,Micro,Product Launch,2025-02-04,1980,16182,65,8,2025-02-12
CMP1377,Instagram,Micro,Sponsored Post,2025-03-31,3501,31705,98,51,2025-05-21
CMP1378,Instagram,Micro,Giveaway,2026-02-22,3430,26300,33,32,2026-03-26
CMP1379,YouTube,Micro,Product Launch,2025-04-25,1436,22624,38,20,2025-05-15
CMP1380,Instagram,Mid-tier,Product Launch,2025-07-15,8033,105001,232,57,2025-09-10
CMP1381,Instagram,Macro,Product Launch,2026-05-16,9759,140158,400,13,2026-05-29
CMP1382,Instagram,Mid-tier,Product Launch,2026-05-08,7207,70975,137,9,2026-05-17
CMP1383,YouTube,Mid-tier,Sponsored Post,2025-03-16,5733,124854,72,53,2025-05-08
CMP1384,YouTube,Macro,Brand Awareness,2026-02-17,8146,269721,161,29,2026-03-18
CMP1385,Instagram,Micro,Sponsored Post,2026-01-11,3746,27469,98,52,2026-03-04
CMP1386,Instagram,Micro,Brand Awareness,2026-02-24,2180,31217,44,49,2026-04-14
CMP1387,Instagram,Mega,Product Launch,2025-10-04,54005,690390,1488,53,2025-11-26
CMP1388,YouTube,Mid-tier,Brand Awareness,2026-01-29,5305,121329,109,51,2026-03-21
CMP1389,YouTube,Micro,Product Launch,2026-04-02,1612,25872,32,24,2026-04-26
CMP1390,Instagram,Mid-tier,Brand Awareness,2025-07-11,6070,87636,132,44,2025-08-24
CMP1391,Instagram,Micro,Sponsored Post,2025-04-09,3276,31720,59,41,2025-05-20
CMP1392,Instagram,Mid-tier,Brand Awareness,2025-04-06,7725,125209,131,57,2025-06-02
CMP1393,YouTube,Micro,Giveaway,2025-07-09,1574,27245,22,21,2025-07-30
CMP1394,Instagram,Micro,Product Launch,2025-02-06,3566,28086,81,31,2025-03-09
CMP1395,Instagram,Micro,Product Launch,2026-01-04,3031,32241,121,43,2026-02-16
CMP1396,Instagram,Mega,Product Launch,2026-06-09,29258,440993,897,34,2026-07-13
CMP1397,Instagram,Macro,Giveaway,2025-10-06,17984,229782,262,16,2025-10-22
CMP1398,YouTube,Micro,Product Launch,2025-08-05,1978,28745,61,45,2025-09-19
CMP1399,Instagram,Micro,Brand Awareness,2025-09-30,2727,25941,38,23,2025-10-23
CMP1400,YouTube,Macro,Brand Awareness,2025-03-03,10511,302856,222,45,2025-04-17
